,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
1348,dev-1348,Jack's mother never lets him take part in any kind of activities.,He never gets in a dangerous situation as other kids do.,Danger involves activities.,does jack's mother ever let him take part in activities?,why does jack's mother never let him take part in dangerous situations?,does jack ever get in a dangerous situation?,does jack's mother ever let him take part in activities?,why does jack's mother never let him take part in dangerous situations?,does jack ever get in a dangerous situation?
1349,dev-1349,Chemicals derived from petroleum can be dangerous.,Amy doesn't want to have contact with petrochemicals.,Petrochemicals are chemicals derived from petroleum.,does amy want to have contact with petrochemicals?,what is the cause of amy's dislike of petrochemicals?,why does amy want to avoid petrochemicals?,does amy want to have contact with petrochemicals?,what is the cause of amy's dislike of petrochemicals?,why does amy want to avoid petrochemicals?
1350,dev-1350,A weights heavier than B.,A has higher pressure than B.,Pressure depends on weight.,does b have a higher pressure than b or has a higher pressure than b?,what is the effect of a weight heavier than b?,why does a have higher pressure than b?,does b have a higher pressure than b or has a higher pressure than b?,what is the effect of a weight heavier than b?,why does a have higher pressure than b?
1351,dev-1351,Jack doesn't like vegetables with slender stalks.,He never eats celery.,Celery has slender stalks.,why doesn't jack like vegetables with slender stalks?,why does jack never eat vegetables with slender stalks?,why doesn't jack like celery?,why doesn't jack like vegetables with slender stalks?,why does jack never eat vegetables with slender stalks?,why doesn't jack like celery?
1352,dev-1352,Drought stress weakens plant water potential and photosynthesis.,The plants were beginning to wilt.,Photosynthesis helps to keep it alive.,how does drought stress weaken plant water potential?,what was the effect of drought stress on plants?,why were the plants beginning to wilt?,how does drought stress weaken plant water potential?,what was the effect of drought stress on plants?,why were the plants beginning to wilt?
1353,dev-1353,She is a technician.,Her knowledge is very profound.,Technicians have knowledge.,what type of technician is she?,what is the cause of a technician's knowledge?,how deep is her knowledge?,what type of technician is she?,what is the cause of a technician's knowledge?,how deep is her knowledge?
1354,dev-1354,Lucy has waited for Tom for a long time.,She bought a book and began reading.,Waitings lead to reads.,how long has lucy waited for tom?,how long has lucy waited for tom?,why did she buy a book?,how long has lucy waited for tom?,how long has lucy waited for tom?,why did she buy a book?
1355,dev-1355,Tom drank a lot and passed out.,The doctor diagnosed him with alcohol poisoning.,Intoxication is defined by statute at a specified blood-alcohol ratio.,did tom cruise ever pass out from drinking alcohol?,what was the cause of tom's alcohol poisoning?,what was tom's diagnosis of alcohol poisoning?,did tom cruise ever pass out from drinking alcohol?,what was the cause of tom's alcohol poisoning?,what was tom's diagnosis of alcohol poisoning?
1356,dev-1356,The farm grows many flowers.,Farmers know how to pollinate flowers.,Farms provide pollination.,how do farmers know how to pollinate flowers?,why do farmers know how to pollinate flowers?,why do farmers know how to pollinate flowers?,how do farmers know how to pollinate flowers?,why do farmers know how to pollinate flowers?,why do farmers know how to pollinate flowers?
1357,dev-1357,They did an experiment about aeration.,They added air into the water.,Aeration is the addition of air to water.,why does They did an experiment about aeration cause They added air into the water?,why does They did an experiment about aeration cause They added air into the water?,what did they do about aeration?,why does They did an experiment about aeration cause They added air into the water?,why does They did an experiment about aeration cause They added air into the water?,what did they do about aeration?
1358,dev-1358,The shop sells combs.,People buy them for their need.,Combs are used by people.,what type of comb combs are sold combs in?,what is the cause of the shop selling combs?,why does The shop sells combs cause People buy them for their need?,what type of comb combs are sold combs in?,what is the cause of the shop selling combs?,why does The shop sells combs cause People buy them for their need?
1359,dev-1359,John was  thirsty but had no water.,He ate some vegetables.,Vegetables retain moisture.,what type of vegetable did john eat?,what caused john to eat some vegetables?,why does John was  thirsty but had no water cause He ate some vegetables?,what type of vegetable did john eat?,what caused john to eat some vegetables?,why does John was  thirsty but had no water cause He ate some vegetables?
1360,dev-1360,Many domestic cats lack the ability of adaptation.,They can't live well in a strange environment.,Adaptations help animals survive in their environment.,are domestic cats able to live well in a strange environment?,why can't domestic cats live well in a strange environment?,why can't domestic cats live well in a strange environment?,are domestic cats able to live well in a strange environment?,why can't domestic cats live well in a strange environment?,why can't domestic cats live well in a strange environment?
1361,dev-1361,The scientist focused on caring for the breasts for the first few weeks.,They found that the breasts grow during this time.,Breasts grow during first few weeks.,did the scientist focus on caring for the breasts during the first few weeks?,what was the cause of the scientist caring for the breasts for the first few weeks?,why does The scientist focused on caring for the breasts for the first few weeks cause They found that the breasts grow during this time?,did the scientist focus on caring for the breasts during the first few weeks?,what was the cause of the scientist caring for the breasts for the first few weeks?,why does The scientist focused on caring for the breasts for the first few weeks cause They found that the breasts grow during this time?
